Index,City,Year,Country
20980,Copenhagen,1844,Denmark
26102,New York,1886,United States
20322,Copenhagen,1893,Denmark
14240,Barcelona,1900,Spain
25789,New York,1900,United States
4406,Stockholm,1904,Sweden
20817,Odense,1905,Denmark
8482,Copenhagen,1909,Denmark
21108,Buenos Aires,1912,Argentina
25142,New York,1915,United States
10117,Barcelona,1920,Spain
2319,New York,1920,United States
25190,Naples,1922,Italy
23763,Mumbai,1923,India
23766,Copenhagen,1923,Denmark
20334,A Coruña,1923,Spain
7682,Stockholm,1926,Sweden
15066,New York,1930,United States
10059,Copenhagen,1930,Denmark
11616,Stockholm,1931,Sweden
14955,Buenos Aires,1937,Argentina
14961,Barcelona,1937,Spain
6848,New York,1938,United States
25123,Westport,1938,United States
6566,Stockholm,1939,Sweden
11111,Copenhagen,1939,Denmark
14954,Buenos Aires,1941,Argentina
11376,Reykjavik,1942,Iceland
4867,Wellington,1944,New Zealand
9314,Mumbai,1944,India
25898,New York,1945,United States
9766,Copenhagen,1945,Denmark
9897,Buenos Aires,1945,Argentina
7294,Reykjavik,1946,Iceland
14367,Bussum,1946,Netherlands
7069,Stockholm,1946,Sweden
7656,Barcelona,1946,Spain
24190,Lisbon,1947,Portugal
2751,Bergen,1948,Norway
5227,Mumbai,1949,India
25962,San Cristóbal de La Laguna,1953,Spain
5014,Beirut,1954,Lebanon
4315,Havana,1955,Cuba
11867,Colombo,1955,Sri Lanka
5114,Jakarta,1957,Indonesia
7612,Koper,1957,Slovenia
23585,Wellington,1959,New Zealand
20930,New York,1960,United States
14062,Koper,1960,Slovenia
26598,Fredensborg,1960,Denmark
17140,Stockholm,1960,Sweden
3088,Copenhagen,1960,Denmark
11771,Buenos Aires,1960,Argentina
26296,Bergen,1961,Norway
11752,Lisbon,1961,Portugal
5204,Havana,1961,Cuba
20140,Barcelona,1964,Spain
14015,Kochi,1964,India
22939,Konstanz,1964,
11710,San Cristóbal de La Laguna,1965,Spain
4733,Christchurch,1965,New Zealand
26804,Odense,1966,Denmark
21423,Honfleur,1967,France
2934,Bari,1969,Italy
27036,Westport,1970,United States
14392,Cape Town,1972,South Africa
6662,Gdansk,1973,Poland
19942,Naples,1975,Italy
11378,Jakarta,1975,Indonesia
3923,Bridgeport,1975,United States
4431,Naarden,1976,Netherlands
5024,Hong Kong,1978,
