;year;language;geonames_name;geonames_country;geonames_id;geonames_lat;geonames_lng;weight;country_codes;germany;map_year;region_country_name;pozn.
16490;1817;sla;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16492;1818;sla;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
25383;1819;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
21023;1819;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
18360;1821;hrv;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16488;1823;sla;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
25382;1824;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16459;1824;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16468;1824;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
25937;1824;pol;Budapest;Hungary;3054643;47.49835;19.04045;1.0;HUN;;1815;Hungary;
1877;1827;ger;Pest;Hungary;3046446;47.5;19.08333;1.0;HUN;;1815;Hungary;
1876;1827;ger;Pest;Hungary;3046446;47.5;19.08333;1.0;HUN;;1815;Hungary;
1885;1829;pol;Warsaw;Poland;756135;52.22977;21.01178;1.0;POL;;1815;Poland;
21024;1829;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
9422;1830;ger;Halle;Germany;2911522;51.48158;11.97947;1.0;DEU;;1815;East Germany;
20698;1830;ger;Halle;Germany;2911522;51.48158;11.97947;1.0;DEU;;1815;East Germany;
16469;1832;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
1878;1833;ger;Pest;Hungary;3046446;47.5;19.08333;1.0;HUN;;1815;Hungary;
16454;1833;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16446;1833;eng;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
9443;1833;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16460;1834;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
1883;1834;hun;Budapest;Hungary;3054643;47.49835;19.04045;1.0;HUN;;1815;Hungary;
16467;1834;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16475;1836;pol;Krakow;Poland;3094802;50.06143;19.93658;1.0;POL;;1815;Poland;
16472;1836;pol;Krakow;Poland;3094802;50.06143;19.93658;1.0;POL;;1815;Poland;
20227;1837;ger;Pest;Hungary;3046446;47.5;19.08333;1.0;HUN;;1815;Hungary;
16473;1839;pol;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16476;1839;pol;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
1888;1839;pol;Budapest;Hungary;3054643;47.49835;19.04045;1.0;HUN;;1815;Hungary;
1887;1839;pol;Budapest;Hungary;3054643;47.49835;19.04045;1.0;HUN;;1815;Hungary;
24320;1840;pol;Wroclaw;Poland;3081368;51.1;17.03333;0.5;POL;;1815;Poland;
16451;1840;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
24321;1840;pol;Prague;Czechia;3067696;50.08804;14.42076;0.5;CZE;;1815;Czech Republic;
16489;1840;sla;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16452;1841;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
10091;1844;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
20737;1844;pol;Poznan;Poland;3088171;52.40692;16.92993;1.0;POL;;1815;Poland;
15411;1844;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
1875;1844;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
20980;1844;dan;Copenhagen;Denmark;2618425;55.67594;12.56553;1.0;DNK;;1815;Denmark;
16461;1845;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16456;1845;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16449;1845;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
1921;1845;srp;Belgrade;Serbia;792680;44.80401;20.46513;1.0;SRB;;1815;Serbia;
20690;1845;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
1922;1845;wen;Berlin;Germany;2950159;52.52437;13.41053;1.0;DEU;;1815;East Germany;
1886;1845;pol;Budín;Czechia;3078478;50.21362;15.59975;1.0;CZE;;1815;Czech Republic;
15414;1846;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
22633;1846;rus;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
10268;1846;wen;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
21027;1846;rus;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16485;1846;rus;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
24323;1846;wen;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
20738;1846;wen;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16464;1846;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16455;1847;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
18361;1847;pol;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
15408;1847;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
20691;1848;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
9466;1850;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16479;1850;rus;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
21026;1851;pol;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16465;1851;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
21025;1851;hrv;Zagreb;Croatia;3186886;45.81444;15.97798;1.0;HRV;;1815;Croatia;
10248;1851;eng;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16494;1851;srp;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16445;1852;eng;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
25384;1852;pol;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
22632;1852;eng;London;United Kingdom;2643743;51.50853;-0.12574;0.5;GBR;;1815;United Kingdom;
22631;1852;eng;Cambridge;United Kingdom;2653941;52.2;0.11667;0.5;GBR;;1815;United Kingdom;
16470;1852;hrv;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
1882;1853;hun;Vienna;Austria;2761369;48.20849;16.37208;1.0;AUT;;1815;Austria;
16444;1853;chu;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
20910;1853;pol;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
14181;1853;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
14204;1853;pol;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16486;1853;sla;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
15449;1854;rus;Lviv;Ukraine;702550;49.83826;24.02324;1.0;UKR;;1815;Ukraine;
16447;1854;eng;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
9442;1854;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
20700;1854;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16487;1854;sla;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
9419;1855;eng;Regensburg;Germany;2849483;49.01513;12.10161;1.0;DEU;;1815;West Germany;
9464;1855;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
14187;1855;ger;Regensburg;Germany;2849483;49.01513;12.10161;1.0;DEU;;1815;West Germany;
20688;1855;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
20689;1855;ger;Regensburg;Germany;2849483;49.01513;12.10161;1.0;DEU;;1815;West Germany;
9438;1855;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
9431;1856;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
9449;1856;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
20695;1856;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
16493;1856;slv;Klagenfurt;Austria;2774326;46.62472;14.30528;1.0;AUT;;1815;Austria;
24229;1856;ger;Leipzig;Germany;2879139;51.33962;12.37129;0.5;DEU;;1815;East Germany;
16471;1856;hun;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
24230;1856;ger;Prague;Czechia;3067696;50.08804;14.42076;0.5;CZE;;1815;Czech Republic;
6542;1856;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
20693;1857;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
6540;1857;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
15441;1857;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
10256;1857;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
15412;1857;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
18796;1857;srp;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
16480;1857;rus;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
