,year,geonames_name,geonames_country,geonames_id,geonames_lat,geonames_lng,weight,country_codes,map_year,historical_coutry_name
16490,1817,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16492,1818,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
25383,1819,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
21023,1819,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
18360,1821,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16488,1823,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
25382,1824,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16459,1824,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16468,1824,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
25937,1824,Budapest,Hungary,3054643,47.49835,19.04045,1.0,HUN,1815,Austrian Empire
1877,1827,Pest,Hungary,3046446,47.5,19.08333,1.0,HUN,1815,Austrian Empire
1876,1827,Pest,Hungary,3046446,47.5,19.08333,1.0,HUN,1815,Austrian Empire
1885,1829,Warsaw,Poland,756135,52.22977,21.01178,1.0,POL,1815,Russian Empire
21024,1829,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9422,1830,Halle,Germany,2911522,51.48158,11.97947,1.0,DEU,1815,Prussia
20698,1830,Halle,Germany,2911522,51.48158,11.97947,1.0,DEU,1815,Prussia
16469,1832,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
1878,1833,Pest,Hungary,3046446,47.5,19.08333,1.0,HUN,1815,Austrian Empire
16454,1833,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16446,1833,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
