,country,language,map_year,weights
0,Austria,ger,1918,29.16666666666667
1,France,fre,1918,35.0
2,Poland,pol,1918,28.0
3,United States,eng,1918,23.839393939393936
4,Czechoslovakia,rus,1918,16.0
5,Germany,ger,1918,100.1666666666667
6,United Kingdom of Great Britain and Ireland,eng,1918,44.29015151515152
7,Yugoslavia,hrv,1918,24.0
8,Yugoslavia,srp,1918,3.0
9,Czechoslovakia,ukr,1918,9.0
10,Czechoslovakia,ger,1918,64.16666666666667
11,Romania,rum,1918,9.0
12,Canada,ukr,1918,1.0
13,France,eng,1918,1.0
14,Germany,eng,1918,1.5
15,Austria,eng,1918,0.5
16,United States,ger,1918,3.0
17,Czechoslovakia,wen,1918,3.0
18,USSR,rus,1918,9.166666666666666
19,Czechoslovakia,fre,1918,98.0
20,Czechoslovakia,eng,1918,28.5
21,Yugoslavia,slv,1918,32.0
22,Switzerland,ger,1918,1.5
23,Switzerland,fre,1918,6.0
24,Czechoslovakia,slo,1918,57.0
25,Ukraine,yid,1918,1.0
26,Spain,spa,1918,12.0
27,Czechoslovakia,pol,1918,7.0
28,Ukraine,ukr,1918,3.5
29,Netherlands,epo,1918,1.0
30,Czechoslovakia,epo,1918,8.0
31,Czechoslovakia,hrv,1918,3.0
32,Mandatory Palestine (GB),heb,1918,1.0
33,Finland,ger,1918,1.0
34,Poland,ukr,1918,1.5
35,Chinese Warlords,chi,1918,2.0
36,Yugoslavia,eng,1918,0.5
37,Czechoslovakia,ido,1918,1.0
38,Czechoslovakia,sla,1918,10.0
39,Germany,wen,1918,10.0
40,Spain,cat,1918,5.0
41,Germany,pol,1918,4.0
42,Italy,ita,1918,6.0
43,Czechoslovakia,alb,1918,1.0
44,British Raj,eng,1918,0.5818181818181818
45,Chinese Warlords,eng,1918,0.2909090909090909
46,Denmark,eng,1918,0.2909090909090909
47,Canada,eng,1918,0.4159090909090909
48,Germany,ukr,1918,1.0
49,Australia,eng,1918,0.2909090909090909
50,Germany,rus,1918,0.5
51,Germany,hrv,1918,2.0
52,Romania,ukr,1918,1.0
53,Czechoslovakia,hun,1918,6.0
54,Germany,fre,1918,0.5
55,Austria,fre,1918,0.5
56,Italy,slv,1918,3.0
57,Poland,hrv,1918,1.0
58,Denmark,dan,1918,5.0
59,Czechoslovakia,ita,1918,1.0
60,Czechoslovakia,grc,1918,1.0
61,Sweden,swe,1918,3.0
62,Turkey,tur,1918,2.0
63,United States,slo,1918,1.0
64,Latvia,lav,1918,3.0
65,Finland,fin,1918,1.0
66,Poland,ger,1918,1.0
67,Estonia,est,1918,1.0
68,Latvia,rus,1918,2.333333333333333
69,Poland,yid,1918,1.0
70,Latvia,yid,1918,1.0
71,Italy,ita,1929,16.5
72,United States,eng,1929,34.83333333333333
73,Netherlands,dut,1929,20.0
74,Czechoslovakia,eng,1929,19.333333333333336
75,Sweden,swe,1929,10.0
76,Czechoslovakia,slo,1929,42.5
77,Yugoslavia,slv,1929,26.0
78,Czechoslovakia,pol,1929,8.0
79,USSR,rus,1929,13.0
80,Austria,ger,1929,14.033333333333335
81,United Kingdom of Great Britain and Ireland,eng,1929,52.666666666666664
82,Germany,ger,1929,70.06666666666668
83,Chinese Warlords,chi,1929,3.0
84,Ukraine,ukr,1929,1.5
85,Czechoslovakia,ukr,1929,5.5
86,Belgium,fre,1929,1.0
87,Czechoslovakia,ger,1929,106.44999999999999
88,France,fre,1929,62.00000000000001
89,Estonia,est,1929,2.0
90,Romania,rum,1929,2.0
91,Poland,pol,1929,25.0
92,Czechoslovakia,sla,1929,4.0
93,Czechoslovakia,fre,1929,47.0
94,Germany,eng,1929,2.0
95,Poland,ukr,1929,8.0
96,Switzerland,ger,1929,7.45
97,Canada,eng,1929,0.6666666666666666
98,Yugoslavia,hrv,1929,21.0
99,France,eng,1929,3.0
100,Yugoslavia,srp,1929,3.0
101,France,ger,1929,1.0
102,Czechoslovakia,wen,1929,1.0
103,Poland,yid,1929,0.5
104,United Kingdom of Great Britain and Ireland,ger,1929,1.0
105,Czechoslovakia,epo,1929,18.0
106,France,hun,1929,1.0
107,Germany,wen,1929,7.0
108,Norway,nor,1929,1.0
109,Latvia,yid,1929,1.5
110,Spain,spa,1929,6.0
111,Latvia,lav,1929,3.0
112,Denmark,dan,1929,6.0
113,Poland,rus,1929,1.0
114,Germany,pol,1929,3.0
115,Czechoslovakia,hun,1929,16.0
116,Lithuania,lit,1929,2.0
117,Empire of Japan,jpn,1929,1.0
118,Germany,hrv,1929,2.0
119,Austria,eng,1929,0.5
120,Czechoslovakia,roa,1929,1.0
121,Ukraine,yid,1929,1.0
122,Czechoslovakia,hrv,1929,2.0
123,Czechoslovakia,heb,1929,1.0
124,White Russia,bel,1929,1.0
125,Mandatory Palestine (GB),heb,1929,3.0
126,Czechoslovakia,rus,1929,10.0
127,Greece,gre,1929,1.0
128,USSR,tat,1929,1.0
129,USSR,fin,1929,1.0
130,Switzerland,roh,1929,1.0
131,Yugoslavia,slo,1929,0.5
132,France,epo,1929,2.0
133,Hungary,slo,1929,1.0
134,France,spa,1929,1.0
135,USSR,ger,1929,3.0
136,Czechoslovakia,ita,1929,2.0
137,Germany,srp,1929,1.0
138,Hungary,hun,1929,2.0
139,Netherlands,ger,1929,2.0
140,Netherlands,eng,1929,1.0
141,Finland,fin,1929,2.0
142,Netherlands,epo,1929,1.0
143,France,dut,1929,1.0
144,France,rus,1929,1.0
145,Czechoslovakia,spa,1929,1.0
146,Germany,ita,1929,0.5
147,Czechoslovakia,ven,1929,1.0
148,Azerbaijan,arm,1929,1.0
149,United Kingdom of Great Britain and Ireland,slv,1929,1.0
150,Czechoslovakia,slv,1929,1.0
151,Yugoslavia,mak,1929,1.0
152,Argentina,spa,1929,1.0
153,Czechoslovakia,oci,1929,1.0
154,United Kingdom,eng,1945,75.5
155,Belgium,fre,1945,1.0
156,United States,eng,1945,25.333333333333332
157,Germany (Soviet),ger,1945,156.08333333333331
158,Czechoslovakia,rus,1945,38.0
159,France,fre,1945,54.0
160,USSR,rus,1945,103.0
161,Israel,heb,1945,12.0
162,Czechoslovakia,slo,1945,127.0
163,Chile,spa,1945,1.0
164,Yugoslavia,slv,1945,20.0
165,Denmark,dan,1945,12.0
166,Belgium,eng,1945,1.0
167,Bulgaria,bul,1945,39.0
168,Switzerland,ger,1945,19.583333333333336
169,Czechoslovakia,pol,1945,16.5
170,Spain,spa,1945,7.0
171,Hungary,hun,1945,35.666666666666664
172,Argentina,spa,1945,9.0
173,Czechoslovakia,cre,1945,2.0
174,Czechoslovakia,eng,1945,47.833333333333336
175,Italy,ita,1945,23.0
176,United States,slo,1945,2.0
177,Czechoslovakia,ger,1945,59.666666666666664
178,Iceland,ice,1945,1.0
179,Czechoslovakia,fre,1945,22.5
180,Czechoslovakia,che,1945,2.0
181,Poland,pol,1945,169.5
182,USSR,ukr,1945,15.0
183,Switzerland,eng,1945,1.0
184,Norway,nor,1945,10.0
185,Yugoslavia,hrv,1945,42.0
186,Netherlands,dut,1945,9.0
187,Sweden,ger,1945,3.0
188,Czechoslovakia,hrv,1945,8.0
