,country,map_year,weights
0,United Kingdom,1945,6.396604781181859
1,Ireland,1945,6.2384047393250786
2,France,1945,5.894817763307944
3,Switzerland fre,1945,5.894817763307944
4,Belgium fre,1945,5.906890595608519
5,Monaco,1945,5.870364719583405
6,Luxembourg,1945,5.870364719583405
7,United States,1945,4.824428435416546
8,East Germany,1945,7.028826963751424
9,Czech Republic,1945,8.000938948969615
10,Estonia,1945,6.6865005271832185
11,Lithuania,1945,6.714245517666122
12,Latvia,1945,6.6865005271832185
13,Byelarus,1945,6.700439718141093
14,Ukraine,1945,6.882643049361842
15,Moldova,1945,6.6865005271832185
16,Russia,1945,6.727920454563199
17,Israel,1945,3.807354922057604
18,Chile,1945,0.0
19,Slovenia,1945,4.523561956057013
20,Denmark,1945,3.700439718141092
21,Belgium dut,1945,3.3923174227787602
22,Bulgaria,1945,5.285402218862249
23,West Germany,1945,6.900866807980749
24,Austria,1945,6.832890014164741
25,Switzerland ger,1945,6.826548487290915
26,Liechtenstein,1945,6.8137811912170365
27,Spain,1945,3.0
28,Catalonia,1945,2.807354922057604
29,Hungary,1945,6.136136687986029
30,Argentina,1945,3.169925001442312
31,Slovakia,1945,6.6293566200796095
32,Switzerland ita,1945,4.584962500721156
33,Italy,1945,4.857980995127572
34,Iceland,1945,0.0
35,Poland,1945,7.426264754702098
36,Norway,1945,3.4594316186372973
37,Croatia,1945,5.700439718141093
38,Bosnia and Herzegovina,1945,5.672425341971495
39,Serbia,1945,5.672425341971495
40,Montenegro,1945,5.672425341971495
41,Netherlands,1945,3.4374053123072983
42,Sweden,1945,3.807354922057604
43,Finland,1945,1.0
44,Brazil,1945,0.5849625007211562
45,Portugal,1945,0.5849625007211562
46,China,1945,4.523561956057013
47,Romania,1945,3.4594316186372973
48,Mexico,1945,1.0
49,India,1945,1.0
50,Japan,1945,2.321928094887362
51,Armenia,1945,1.584962500721156
52,Iran,1945,0.0
53,Australia,1945,0.5849625007211562
54,Mongolia,1945,1.0
55,Macedonia,1945,0.0
56,Canada,1945,1.0
57,Turkey,1945,0.0
58,Lebanon,1945,0.0
59,Greece,1945,0.0
60,Cuba,1945,0.0
61,Sri Lanka,1945,0.0
62,Czech Republic,1956,9.26756700868304
63,East Germany,1956,8.09451759878429
64,China,1956,5.247927513443585
65,Slovakia,1956,8.413627929024173
66,Hungary,1956,8.044394119358454
67,Poland,1956,7.463524373271181
68,Norway,1956,2.4594316186372973
69,Bulgaria,1956,4.247927513443585
70,United Kingdom,1956,6.966745760899532
71,France,1956,6.464886048729405
72,Switzerland fre,1956,6.417852514885898
73,Belgium fre,1956,6.417852514885898
74,Monaco,1956,6.417852514885898
75,Luxembourg,1956,6.417852514885898
76,Estonia,1956,7.721099188707186
77,Lithuania,1956,7.700439718141093
78,Latvia,1956,7.6865005271832185
79,Byelarus,1956,7.643856189774724
80,Ukraine,1956,7.807354922057604
81,Moldova,1956,7.658211482751795
82,Russia,1956,7.69522829149575
83,West Germany,1956,8.301877205163263
84,Austria,1956,8.214723860610095
85,Switzerland ger,1956,8.190236228176829
86,Liechtenstein,1956,8.20497862766976
87,Spain,1956,3.523561956057013
88,Catalonia,1956,3.3923174227787602
89,Romania,1956,5.20945336562895
90,Albania,1956,2.807354922057604
91,Slovenia,1956,5.658211482751795
92,Croatia,1956,5.882643049361842
93,Bosnia and Herzegovina,1956,5.882643049361842
94,Serbia,1956,5.930737337562887
95,Montenegro,1956,5.882643049361842
96,Switzerland ita,1956,4.930737337562887
97,Italy,1956,5.285402218862249
98,Finland,1956,4.129283016944966
99,Georgia,1956,1.0
100,United States,1956,5.5051499189431325
101,India,1956,2.321928094887362
102,"Korea, Democratic People's Republic of",1956,1.0
103,Ireland,1956,6.89582770037466
104,Japan,1956,3.3923174227787602
105,Belgium dut,1956,5.266786540694901
106,Netherlands,1956,5.420662048472722
107,Indonesia,1956,0.0
108,Sweden,1956,4.426264754702098
109,Lebanon,1956,1.0
110,Denmark,1956,3.9541963103868754
111,Australia,1956,0.11547721741993588
112,Argentina,1956,2.0
113,Brazil,1956,2.807354922057604
