,country,map_year,weights
0,South Georgia and the South Sandwich Islands,2010,37.0
1,South Sudan,2010,37.0
2,Antigua and Barbuda,2010,37.0
3,Anguilla,2010,37.0
4,American Samoa,2010,37.0
5,Australia,2010,37.0
6,Barbados,2010,37.0
7,Bermuda,2010,37.0
8,Bahamas,2010,37.0
9,Botswana,2010,37.0
10,Belize,2010,37.0
11,Canada,2010,37.0
12,Cook Islands,2010,37.0
13,Cameroon,2010,37.0
14,Dominica,2010,37.0
15,Fiji,2010,37.0
16,Falkland Islands,2010,37.0
17,Micronesia,2010,37.0
18,United Kingdom,2010,37.0
19,Grenada,2010,37.0
20,Ghana,2010,37.0
21,Gibraltar,2010,37.0
22,Gambia,2010,37.0
23,Guam,2010,37.0
24,Guyana,2010,37.0
25,Ireland,2010,37.0
26,British Indian Ocean Territory,2010,37.0
27,Jamaica,2010,37.0
28,Kiribati,2010,37.0
29,Saint Kitts and Nevis,2010,37.0
30,Cayman Islands,2010,37.0
31,Saint Lucia,2010,37.0
32,Liberia,2010,37.0
33,Montserrat,2010,37.0
34,Mauritius,2010,37.0
35,Namibia,2010,37.0
36,Norfolk Island,2010,37.0
37,Nigeria,2010,37.0
38,New Zealand,2010,37.0
39,Pitcairn,2010,37.0
40,Puerto Rico,2010,37.0
41,Solomon Islands,2010,37.0
42,Seychelles,2010,37.0
43,Saint Helena,2010,37.0
44,Sierra Leone,2010,37.0
45,Turks and Caicos Islands,2010,37.0
46,Trinidad and Tobago,2010,37.0
47,United States Minor Outlying Islands,2010,37.0
48,United States,2010,37.0
49,Saint Vincent and the Grenadines,2010,37.0
50,British Virgin Islands,2010,37.0
51,U.S. Virgin Islands,2010,37.0
52,Zambia,2010,37.0
53,Jersey,2010,37.0
54,Isle of Man,2010,37.0
55,Guernsey,2010,37.0
56,Christmas Island,2010,37.0
57,Canada eng,2010,37.0
58,South Africa,2010,37.0
59,Slovakia,2010,7.0
60,United Arab Emirates,2010,1.0
61,Bahrain,2010,1.0
62,Algeria,2010,1.0
63,Egypt,2010,1.0
64,Iraq,2010,1.0
65,Jordan,2010,1.0
66,Kuwait,2010,1.0
67,Lebanon,2010,1.0
68,Libya,2010,1.0
69,Morocco,2010,1.0
70,Mauritania,2010,1.0
71,Oman,2010,1.0
72,Palestinian Territory,2010,1.0
73,Qatar,2010,1.0
74,Saudi Arabia,2010,1.0
75,Sudan,2010,1.0
76,Syria,2010,1.0
77,Chad,2010,1.0
78,Tunisia,2010,1.0
79,Yemen,2010,1.0
80,Comoros,2010,1.0
81,Western Sahara,2010,1.0
82,Djibouti,2010,1.0
83,Saint Barthelemy,2010,9.0
84,Saint Martin,2010,9.0
85,French Southern Territories,2010,9.0
86,Benin,2010,9.0
87,Democratic Republic of the Congo,2010,9.0
88,Republic of the Congo,2010,9.0
89,Ivory Coast,2010,9.0
90,France,2010,9.0
91,Gabon,2010,9.0
92,French Guiana,2010,9.0
93,Guinea,2010,9.0
94,Guadeloupe,2010,9.0
95,Monaco,2010,9.0
96,Madagascar,2010,9.0
97,Martinique,2010,9.0
98,New Caledonia,2010,9.0
99,Niger,2010,9.0
100,French Polynesia,2010,9.0
101,Saint Pierre and Miquelon,2010,9.0
102,Reunion,2010,9.0
103,Senegal,2010,9.0
104,Togo,2010,9.0
105,Mayotte,2010,9.0
106,Canada fre,2010,9.0
107,Switzerland fre,2010,9.0
108,Belgium fre,2010,9.0
109,Germany,2010,29.0
110,Austria,2010,29.0
111,Switzerland,2010,29.0
112,Liechtenstein,2010,29.0
113,West Germany,2010,29.0
114,East Germany,2010,29.0
115,Switzerland ger,2010,29.0
116,Italy,2010,10.0
117,San Marino,2010,10.0
118,Poland,2010,17.0
119,Ukraine,2010,5.0
120,Bulgaria,2010,3.0
121,Argentina,2010,14.0
122,Bolivia,2010,14.0
123,Chile,2010,14.0
124,Colombia,2010,14.0
125,Costa Rica,2010,14.0
126,Cuba,2010,14.0
127,Dominican Republic,2010,14.0
128,Ecuador,2010,14.0
129,Spain,2010,14.0
130,Equatorial Guinea,2010,14.0
131,Guatemala,2010,14.0
132,Honduras,2010,14.0
133,Mexico,2010,14.0
134,Nicaragua,2010,14.0
135,Panama,2010,14.0
136,Peru,2010,14.0
137,Paraguay,2010,14.0
138,El Salvador,2010,14.0
139,Uruguay,2010,14.0
140,Venezuela,2010,14.0
141,Japan,2010,5.0
142,North Macedonia,2010,3.0
143,Macedonia,2010,3.0
144,China,2010,4.0
145,Hong Kong,2010,4.0
146,Taiwan,2010,4.0
147,Macao,2010,4.0
148,Serbia,2010,3.0
149,Montenegro,2010,3.0
150,Aland Islands,2010,4.0
151,Sweden,2010,4.0
152,Slovenia,2010,3.0
153,Vietnam,2010,2.0
154,Croatia,2010,3.0
155,Bosnia and Herzegovina,2010,2.0
156,Ethiopia,2010,3.0
157,Netherlands Antilles,2010,4.0
158,Aruba,2010,4.0
159,Belgium,2010,4.0
160,The Netherlands,2010,4.0
161,Suriname,2010,4.0
162,Sint Maarten,2010,4.0
163,Curacao,2010,4.0
164,"Bonaire, Saint Eustatius and Saba ",2010,4.0
165,Belgium dut,2010,4.0
166,Netherlands,2010,4.0
167,Estonia,2010,1.0
168,Cyprus,2010,2.0
169,Greece,2010,2.0
170,Hungary,2010,3.0
171,Russia,2010,1.0
172,Kazakhstan,2010,1.0
173,Kyrgyzstan,2010,1.0
174,Bulgaria,1989,170.0
175,Poland,1989,757.0
176,Germany,1989,1865.9999999999952
177,Austria,1989,1865.9999999999952
178,Switzerland,1989,1865.9999999999952
179,Liechtenstein,1989,1865.9999999999952
180,West Germany,1989,1865.9999999999952
181,East Germany,1989,1865.9999999999952
182,Switzerland ger,1989,1865.9999999999952
183,Argentina,1989,627.0000000000001
184,Bolivia,1989,627.0000000000001
185,Chile,1989,627.0000000000001
186,Colombia,1989,627.0000000000001
187,Costa Rica,1989,627.0000000000001
188,Cuba,1989,627.0000000000001
189,Dominican Republic,1989,627.0000000000001
190,Ecuador,1989,627.0000000000001
191,Spain,1989,627.0000000000001
192,Equatorial Guinea,1989,627.0000000000001
193,Guatemala,1989,627.0000000000001
194,Honduras,1989,627.0000000000001
195,Mexico,1989,627.0000000000001
196,Nicaragua,1989,627.0000000000001
197,Panama,1989,627.0000000000001
198,Peru,1989,627.0000000000001
199,Paraguay,1989,627.0000000000001
200,El Salvador,1989,627.0000000000001
201,Uruguay,1989,627.0000000000001
202,Venezuela,1989,627.0000000000001
203,Saint Barthelemy,1989,959.0000000000001
204,Saint Martin,1989,959.0000000000001
205,French Southern Territories,1989,959.0000000000001
206,Benin,1989,959.0000000000001
207,Democratic Republic of the Congo,1989,959.0000000000001
208,Republic of the Congo,1989,959.0000000000001
209,Ivory Coast,1989,959.0000000000001
210,France,1989,959.0000000000001
211,Gabon,1989,959.0000000000001
212,French Guiana,1989,959.0000000000001
213,Guinea,1989,959.0000000000001
214,Guadeloupe,1989,959.0000000000001
215,Monaco,1989,959.0000000000001
216,Madagascar,1989,959.0000000000001
217,Martinique,1989,959.0000000000001
218,New Caledonia,1989,959.0000000000001
219,Niger,1989,959.0000000000001
220,French Polynesia,1989,959.0000000000001
221,Saint Pierre and Miquelon,1989,959.0000000000001
222,Reunion,1989,959.0000000000001
223,Senegal,1989,959.0000000000001
224,Togo,1989,959.0000000000001
225,Mayotte,1989,959.0000000000001
226,Canada fre,1989,959.0000000000001
227,Switzerland fre,1989,959.0000000000001
228,Belgium fre,1989,959.0000000000001
229,Japan,1989,178.0
230,Netherlands Antilles,1989,299.0
231,Aruba,1989,299.0
232,Belgium,1989,299.0
233,The Netherlands,1989,299.0
234,Suriname,1989,299.0
235,Sint Maarten,1989,299.0
236,Curacao,1989,299.0
237,"Bonaire, Saint Eustatius and Saba ",1989,299.0
238,Belgium dut,1989,299.0
239,Netherlands,1989,299.0
240,Croatia,1989,145.0
241,China,1989,447.99999999999966
242,Hong Kong,1989,447.99999999999966
243,Taiwan,1989,447.99999999999966
244,Macao,1989,447.99999999999966
245,Denmark,1989,125.0
246,Russia,1989,318.0
247,Kazakhstan,1989,318.0
248,Kyrgyzstan,1989,318.0
249,Georgia,1989,6.0
250,Hungary,1989,478.99999999999994
251,Slovenia,1989,251.0
252,South Georgia and the South Sandwich Islands,1989,1512.999999999994
253,South Sudan,1989,1512.999999999994
254,Antigua and Barbuda,1989,1512.999999999994
255,Anguilla,1989,1512.999999999994
256,American Samoa,1989,1512.999999999994
257,Australia,1989,1512.999999999994
258,Barbados,1989,1512.999999999994
259,Bermuda,1989,1512.999999999994
260,Bahamas,1989,1512.999999999994
261,Botswana,1989,1512.999999999994
262,Belize,1989,1512.999999999994
263,Canada,1989,1512.999999999994
264,Cook Islands,1989,1512.999999999994
265,Cameroon,1989,1512.999999999994
266,Dominica,1989,1512.999999999994
267,Fiji,1989,1512.999999999994
268,Falkland Islands,1989,1512.999999999994
269,Micronesia,1989,1512.999999999994
270,United Kingdom,1989,1512.999999999994
271,Grenada,1989,1512.999999999994
272,Ghana,1989,1512.999999999994
273,Gibraltar,1989,1512.999999999994
274,Gambia,1989,1512.999999999994
275,Guam,1989,1512.999999999994
276,Guyana,1989,1512.999999999994
277,Ireland,1989,1512.999999999994
278,British Indian Ocean Territory,1989,1512.999999999994
279,Jamaica,1989,1512.999999999994
280,Kiribati,1989,1512.999999999994
281,Saint Kitts and Nevis,1989,1512.999999999994
282,Cayman Islands,1989,1512.999999999994
283,Saint Lucia,1989,1512.999999999994
284,Liberia,1989,1512.999999999994
285,Montserrat,1989,1512.999999999994
286,Mauritius,1989,1512.999999999994
287,Namibia,1989,1512.999999999994
288,Norfolk Island,1989,1512.999999999994
289,Nigeria,1989,1512.999999999994
290,New Zealand,1989,1512.999999999994
291,Pitcairn,1989,1512.999999999994
292,Puerto Rico,1989,1512.999999999994
293,Solomon Islands,1989,1512.999999999994
294,Seychelles,1989,1512.999999999994
295,Saint Helena,1989,1512.999999999994
296,Sierra Leone,1989,1512.999999999994
297,Turks and Caicos Islands,1989,1512.999999999994
298,Trinidad and Tobago,1989,1512.999999999994
299,United States Minor Outlying Islands,1989,1512.999999999994
300,United States,1989,1512.999999999994
301,Saint Vincent and the Grenadines,1989,1512.999999999994
302,British Virgin Islands,1989,1512.999999999994
303,U.S. Virgin Islands,1989,1512.999999999994
304,Zambia,1989,1512.999999999994
305,Jersey,1989,1512.999999999994
306,Isle of Man,1989,1512.999999999994
307,Guernsey,1989,1512.999999999994
308,Christmas Island,1989,1512.999999999994
309,Canada eng,1989,1512.999999999994
310,South Africa,1989,1512.999999999994
311,North Macedonia,1989,77.0
312,Macedonia,1989,77.0
313,United Arab Emirates,1989,83.0
314,Bahrain,1989,83.0
315,Algeria,1989,83.0
316,Egypt,1989,83.0
317,Iraq,1989,83.0
318,Jordan,1989,83.0
319,Kuwait,1989,83.0
320,Lebanon,1989,83.0
321,Libya,1989,83.0
322,Morocco,1989,83.0
323,Mauritania,1989,83.0
324,Oman,1989,83.0
325,Palestinian Territory,1989,83.0
326,Qatar,1989,83.0
327,Saudi Arabia,1989,83.0
328,Sudan,1989,83.0
329,Syria,1989,83.0
330,Chad,1989,83.0
331,Tunisia,1989,83.0
332,Yemen,1989,83.0
333,Comoros,1989,83.0
334,Western Sahara,1989,83.0
335,Djibouti,1989,83.0
336,Italy,1989,561.0
337,San Marino,1989,561.0
338,Albania,1989,26.0
339,Kosovo,1989,26.0
340,Romania,1989,165.0
341,Moldova,1989,165.0
342,Vietnam,1989,35.0
343,North Korea,1989,94.0
344,South Korea,1989,94.0
345,"Korea, Republic of",1989,94.0
346,Serbia,1989,100.0
347,Montenegro,1989,100.0
348,Mongolia,1989,3.0
349,Thailand,1989,6.0
350,Cyprus,1989,47.0
351,Greece,1989,47.0
352,Slovakia,1989,376.0
353,Sri Lanka,1989,10.0
354,Angola,1989,59.0
355,Brazil,1989,59.0
356,Cabo Verde,1989,59.0
357,Guinea-Bissau,1989,59.0
358,Mozambique,1989,59.0
359,Portugal,1989,59.0
360,Sao Tome and Principe,1989,59.0
361,Estonia,1989,30.0
362,Latvia,1989,32.0
363,Palau,1989,1.0
364,Ukraine,1989,48.0
365,Bosnia and Herzegovina,1989,13.0
366,Andorra,1989,94.0
367,Catalonia,1989,94.0
368,Aland Islands,1989,116.0
369,Sweden,1989,116.0
370,Pakistan,1989,6.0
371,Belarus,1989,19.0
372,Byelarus,1989,19.0
373,Vatican,1989,2.0
374,Ethiopia,1989,5.0
375,India,1989,13.0
376,Turkey,1989,91.0
377,Indonesia,1989,9.0
378,Norway,1989,114.0
379,Svalbard and Jan Mayen,1989,114.0
380,Philippines,1989,2.0
381,Israel,1989,72.0
382,Afghanistan,1989,53.0
383,Iran,1989,53.0
384,Bangladesh,1989,4.0
385,Lithuania,1989,38.0
386,Uzbekistan,1989,1.0
387,Finland,1989,60.00000000000006
388,Northern Mariana Islands,1989,60.00000000000006
389,Cambodia,1989,1.0
390,Armenia,1989,2.0
391,Zimbabwe,1989,1.0
392,Iceland,1989,4.0
393,Turkmenistan,1989,1.0
394,Tokelau,1989,1.0
395,Slovenia,1945,183.0
396,Germany,1945,3065.0000000000036
397,Austria,1945,3065.0000000000036
398,Switzerland,1945,3065.0000000000036
399,Liechtenstein,1945,3065.0000000000036
400,West Germany,1945,3065.0000000000036
401,East Germany,1945,3065.0000000000036
402,Switzerland ger,1945,3065.0000000000036
403,Slovakia,1945,910.0
404,Argentina,1945,266.0
405,Bolivia,1945,266.0
406,Chile,1945,266.0
407,Colombia,1945,266.0
408,Costa Rica,1945,266.0
409,Cuba,1945,266.0
410,Dominican Republic,1945,266.0
411,Ecuador,1945,266.0
412,Spain,1945,266.0
413,Equatorial Guinea,1945,266.0
414,Guatemala,1945,266.0
415,Honduras,1945,266.0
416,Mexico,1945,266.0
417,Nicaragua,1945,266.0
418,Panama,1945,266.0
419,Peru,1945,266.0
420,Paraguay,1945,266.0
421,El Salvador,1945,266.0
422,Uruguay,1945,266.0
423,Venezuela,1945,266.0
424,Denmark,1945,104.0
425,Italy,1945,256.0
426,San Marino,1945,256.0
427,Poland,1945,798.0000000000001
428,Turkey,1945,40.0
429,Hungary,1945,807.0000000000002
430,South Georgia and the South Sandwich Islands,1945,1152.9999999999998
431,South Sudan,1945,1152.9999999999998
432,Antigua and Barbuda,1945,1152.9999999999998
433,Anguilla,1945,1152.9999999999998
434,American Samoa,1945,1152.9999999999998
435,Australia,1945,1152.9999999999998
436,Barbados,1945,1152.9999999999998
