,country,map_year,weights
0,United Kingdom,1945,75.5
1,Ireland,1945,75.5
2,France,1945,58.5
3,Switzerland fre,1945,58.5
4,Belgium fre,1945,58.5
5,Monaco,1945,58.5
6,Luxembourg,1945,58.5
7,East Germany,1945,125.58333333333333
8,Estonia,1945,103.0
9,Lithuania,1945,105.0
10,Latvia,1945,104.0
11,Byelarus,1945,104.0
12,Ukraine,1945,123.0
13,Moldova,1945,112.0
14,Russia,1945,103.0
15,Georgia,1945,103.0
16,Azerbaijan,1945,103.0
17,Slovakia,1945,127.0
18,Slovenia,1945,25.0
19,Denmark,1945,13.0
20,Bulgaria,1945,39.0
21,West Germany,1945,112.49999999999999
22,Austria,1945,112.49999999999999
23,Switzerland ger,1945,112.49999999999999
24,Liechtenstein,1945,112.49999999999999
25,Poland,1945,190.0
26,Spain,1945,7.0
27,Catalonia,1945,7.0
28,Hungary,1945,68.33333333333334
29,Switzerland ita,1945,23.0
30,Italy,1945,23.0
31,Norway,1945,10.0
32,Croatia,1945,51.0
33,Bosnia and Herzegovina,1945,51.0
34,Serbia,1945,51.0
35,Montenegro,1945,51.0
36,Belgium dut,1945,9.0
37,Netherlands,1945,9.0
38,Sweden,1945,13.0
39,Finland,1945,3.0
40,Portugal,1945,3.0
41,Romania,1945,9.0
42,North Macedonia,1945,1.0
43,Turkey,1945,1.0
44,Greece,1945,1.0
45,East Germany,1956,269.3333333333334
46,Slovakia,1956,372.0
47,Hungary,1956,261.0
48,Poland,1956,208.0
49,Denmark,1956,17.0
50,Bulgaria,1956,19.0
51,France,1956,85.5
52,Switzerland fre,1956,85.5
53,Belgium fre,1956,85.5
54,Monaco,1956,85.5
55,Luxembourg,1956,85.5
56,Estonia,1956,212.0
57,Lithuania,1956,208.0
58,Latvia,1956,206.0
59,Byelarus,1956,199.0
60,Ukraine,1956,235.0
61,Moldova,1956,237.0
62,Russia,1956,199.0
63,Georgia,1956,199.0
64,Azerbaijan,1956,199.0
65,West Germany,1956,292.08333333333326
66,Austria,1956,292.08333333333326
67,Switzerland ger,1956,292.08333333333326
68,Liechtenstein,1956,292.08333333333326
69,Portugal,1956,13.0
70,Spain,1956,10.5
71,Catalonia,1956,10.5
72,Romania,1956,38.0
73,Albania,1956,9.0
74,Slovenia,1956,53.0
75,Croatia,1956,59.0
76,Bosnia and Herzegovina,1956,59.0
77,Serbia,1956,59.0
78,Montenegro,1956,59.0
79,Switzerland ita,1956,30.5
80,Italy,1956,30.5
81,Finland,1956,18.0
82,United Kingdom,1956,119.08333333333333
83,Ireland,1956,119.08333333333333
84,Belgium dut,1956,38.5
85,Netherlands,1956,38.5
86,Sweden,1956,20.0
87,Norway,1956,4.0
88,Turkey,1956,6.0
89,North Macedonia,1956,1.0
90,Greece,1956,2.0
91,West Germany,1967,623.3333333333334
92,Austria,1967,623.3333333333334
93,Switzerland ger,1967,623.3333333333334
94,Liechtenstein,1967,623.3333333333334
95,Hungary,1967,214.0
96,Romania,1967,32.0
97,Moldova,1967,140.0
98,United Kingdom,1967,112.49999999999994
99,Ireland,1967,112.49999999999994
100,Slovakia,1967,194.5
101,East Germany,1967,186.0
102,Estonia,1967,119.0
103,Lithuania,1967,120.0
104,Latvia,1967,114.0
105,Byelarus,1967,110.0
106,Ukraine,1967,134.0
107,Russia,1967,108.0
108,Georgia,1967,108.0
109,Azerbaijan,1967,108.0
110,Denmark,1967,44.0
111,France,1967,195.0
112,Switzerland fre,1967,195.0
113,Belgium fre,1967,195.0
114,Monaco,1967,195.0
115,Luxembourg,1967,195.0
116,Poland,1967,177.0
117,Croatia,1967,30.0
118,Bosnia and Herzegovina,1967,30.0
119,Serbia,1967,30.0
120,Montenegro,1967,30.0
121,Slovenia,1967,49.0
122,Belgium dut,1967,55.0
123,Netherlands,1967,55.0
124,Switzerland ita,1967,73.0
125,Italy,1967,73.0
126,Finland,1967,22.999999999999996
127,Portugal,1967,6.0
128,Sweden,1967,43.99999999999999
129,North Macedonia,1967,5.0
130,Albania,1967,2.0
131,Norway,1967,8.0
132,Turkey,1967,11.0
133,Bulgaria,1967,26.0
134,Spain,1967,20.0
135,Catalonia,1967,22.0
136,Greece,1967,6.0
137,Poland,1978,223.0
138,Belgium dut,1978,109.99999999999999
139,Netherlands,1978,109.99999999999999
140,West Germany,1978,660.666666666667
141,Austria,1978,660.666666666667
142,Switzerland ger,1978,660.666666666667
143,Liechtenstein,1978,660.666666666667
144,France,1978,301.1666666666667
145,Switzerland fre,1978,301.1666666666667
146,Belgium fre,1978,301.1666666666667
147,Monaco,1978,301.1666666666667
148,Luxembourg,1978,301.1666666666667
149,Slovakia,1978,200.0
150,East Germany,1978,206.66666666666674
151,Hungary,1978,230.0
152,Sweden,1978,79.0
153,Lithuania,1978,108.99999999999999
154,North Macedonia,1978,8.0
155,Portugal,1978,23.0
156,Denmark,1978,30.0
157,Switzerland ita,1978,101.5
158,Italy,1978,101.5
159,United Kingdom,1978,115.34999999999995
160,Ireland,1978,115.34999999999995
161,Norway,1978,30.0
162,Estonia,1978,117.99999999999999
163,Latvia,1978,112.99999999999999
164,Byelarus,1978,106.99999999999999
165,Ukraine,1978,120.99999999999999
166,Moldova,1978,146.0
167,Russia,1978,105.99999999999999
168,Georgia,1978,105.99999999999999
169,Azerbaijan,1978,105.99999999999999
170,Turkey,1978,22.0
171,Slovenia,1978,56.0
172,Greece,1978,22.0
173,Finland,1978,47.00000000000002
174,Bulgaria,1978,35.0
175,Romania,1978,40.0
176,Croatia,1978,83.0
177,Bosnia and Herzegovina,1978,83.0
178,Serbia,1978,83.0
179,Montenegro,1978,83.0
180,Spain,1978,88.25
181,Catalonia,1978,106.25
182,Albania,1978,3.0
