,country,map_year,weights
0,Russia,1945,101.0
1,Slovakia,1945,127.0
2,United Kingdom,1945,75.5
3,Ireland,1945,75.5
4,Switzerland ita,1945,23.0
5,Italy,1945,23.0
6,East Germany,1945,125.58333333333333
7,Bulgaria,1945,39.0
8,Spain,1945,7.0
9,Denmark,1945,13.0
10,Hungary,1945,35.666666666666664
11,Slovenia,1945,25.0
12,France,1945,58.5
13,Switzerland fre,1945,58.5
14,Belgium fre,1945,58.5
15,Monaco,1945,58.5
16,Luxembourg,1945,58.5
17,Poland,1945,190.0
18,West Germany,1945,112.5
19,Austria,1945,112.5
20,Switzerland ger,1945,112.5
21,Liechtenstein,1945,112.5
22,Croatia,1945,51.0
23,Bosnia and Herzegovina,1945,51.0
24,Serbia,1945,51.0
25,Montenegro,1945,51.0
26,Norway,1945,10.0
27,Ukraine,1945,20.0
28,Sweden,1945,13.0
29,Belgium dut,1945,9.0
30,Netherlands,1945,9.0
31,Finland,1945,3.0
32,Latvia,1945,1.0
33,Portugal,1945,3.0
34,Romania,1945,9.0
35,Moldova,1945,9.0
36,Lithuania,1945,2.0
37,Macedonia,1945,1.0
38,Turkey,1945,1.0
39,Algeria,1945,1.0
40,Tunisia,1945,1.0
41,Syria,1945,1.0
42,Greece,1945,1.0
43,Byelarus,1945,1.0
44,Slovakia,1956,372.0
45,Poland,1956,208.0
46,East Germany,1956,269.3333333333336
47,United Kingdom,1956,119.08333333333333
48,Ireland,1956,119.08333333333333
49,France,1956,85.5
50,Switzerland fre,1956,85.5
51,Belgium fre,1956,85.5
52,Monaco,1956,85.5
53,Luxembourg,1956,85.5
54,Hungary,1956,136.5
55,Finland,1956,18.0
56,Russia,1956,194.5
57,Bulgaria,1956,19.0
58,Denmark,1956,17.0
59,West Germany,1956,292.08333333333337
60,Austria,1956,292.08333333333337
61,Switzerland ger,1956,292.08333333333337
62,Liechtenstein,1956,292.08333333333337
63,Croatia,1956,59.0
64,Bosnia and Herzegovina,1956,59.0
65,Serbia,1956,59.0
66,Montenegro,1956,59.0
67,Romania,1956,38.0
68,Moldova,1956,38.0
69,Albania,1956,9.0
70,Lithuania,1956,9.0
71,Slovenia,1956,53.0
72,Belgium dut,1956,38.5
73,Netherlands,1956,38.5
74,Portugal,1956,13.0
75,Switzerland ita,1956,30.5
76,Italy,1956,30.5
77,Spain,1956,10.5
78,Ukraine,1956,36.0
79,Sweden,1956,20.0
80,Latvia,1956,7.0
81,Norway,1956,4.0
82,Estonia,1956,13.0
83,Macedonia,1956,1.0
84,Turkey,1956,6.0
85,Algeria,1956,3.0
86,Tunisia,1956,3.0
87,Syria,1956,3.0
88,Greece,1956,2.0
89,East Germany,1967,186.0
90,Poland,1967,177.0
91,West Germany,1967,623.3333333333336
92,Austria,1967,623.3333333333336
93,Switzerland ger,1967,623.3333333333336
94,Liechtenstein,1967,623.3333333333336
95,Hungary,1967,122.5
96,France,1967,195.0
97,Switzerland fre,1967,195.0
98,Belgium fre,1967,195.0
99,Monaco,1967,195.0
100,Luxembourg,1967,195.0
101,Slovakia,1967,194.5
102,Denmark,1967,44.0
103,United Kingdom,1967,112.49999999999994
104,Ireland,1967,112.49999999999994
105,Ukraine,1967,26.0
106,Russia,1967,106.0
107,Estonia,1967,11.0
108,Belgium dut,1967,55.0
109,Netherlands,1967,55.0
110,Finland,1967,22.999999999999996
111,Croatia,1967,30.0
112,Bosnia and Herzegovina,1967,30.0
113,Serbia,1967,30.0
114,Montenegro,1967,30.0
115,Lithuania,1967,12.0
116,Macedonia,1967,5.0
117,Romania,1967,32.0
118,Moldova,1967,32.0
119,Slovenia,1967,49.0
120,Sweden,1967,43.99999999999999
121,Albania,1967,2.0
122,Switzerland ita,1967,73.0
123,Italy,1967,73.0
124,Portugal,1967,6.0
125,Bulgaria,1967,26.0
126,Norway,1967,8.0
127,Spain,1967,20.0
128,Turkey,1967,11.0
129,Latvia,1967,6.0
130,Greece,1967,6.0
131,Byelarus,1967,2.0
132,Catalonia,1967,2.0
133,Lithuania,1978,3.0
134,Russia,1978,101.66666666666666
135,United Kingdom,1978,115.34999999999995
136,Ireland,1978,115.34999999999995
137,Sweden,1978,79.0
138,Hungary,1978,148.0
139,Romania,1978,40.0
140,Moldova,1978,40.0
141,Slovenia,1978,56.0
142,Slovakia,1978,200.0
143,West Germany,1978,660.6666666666663
144,Austria,1978,660.6666666666663
145,Switzerland ger,1978,660.6666666666663
146,Liechtenstein,1978,660.6666666666663
147,Poland,1978,223.0
148,Belgium dut,1978,109.99999999999999
149,Netherlands,1978,109.99999999999999
150,Finland,1978,47.00000000000002
151,Bulgaria,1978,35.0
152,France,1978,301.1666666666667
153,Switzerland fre,1978,301.1666666666667
154,Belgium fre,1978,301.1666666666667
155,Monaco,1978,301.1666666666667
156,Luxembourg,1978,301.1666666666667
157,Croatia,1978,83.0
158,Bosnia and Herzegovina,1978,83.0
159,Serbia,1978,83.0
160,Montenegro,1978,83.0
161,East Germany,1978,206.66666666666674
162,Macedonia,1978,8.0
163,Ukraine,1978,15.0
164,Greece,1978,22.0
165,Norway,1978,30.0
166,Portugal,1978,23.0
167,Turkey,1978,22.0
168,Switzerland ita,1978,101.5
169,Italy,1978,101.5
170,Estonia,1978,12.0
171,Denmark,1978,30.0
172,Spain,1978,88.24999999999999
173,Latvia,1978,7.0
174,Catalonia,1978,18.0
175,Albania,1978,3.0
176,Algeria,1978,2.0
177,Tunisia,1978,2.0
178,Syria,1978,2.0
179,Byelarus,1978,1.0
180,West Germany,1989,666.0166666666674
181,East Germany,1989,666.0166666666674
182,Austria,1989,666.0166666666674
183,Switzerland ger,1989,666.0166666666674
184,Liechtenstein,1989,666.0166666666674
185,France,1989,379.99999999999994
186,Switzerland fre,1989,379.99999999999994
187,Belgium fre,1989,379.99999999999994
188,Monaco,1989,379.99999999999994
189,Luxembourg,1989,379.99999999999994
190,Denmark,1989,62.0
191,Belgium dut,1989,106.99999999999999
192,Netherlands,1989,106.99999999999999
193,United Kingdom,1989,176.56666666666666
194,Ireland,1989,176.56666666666666
195,Estonia,1989,15.0
196,Hungary,1989,114.16666666666666
197,Norway,1989,52.0
198,Poland,1989,171.0
199,Croatia,1989,60.0
200,Bosnia and Herzegovina,1989,60.0
201,Serbia,1989,60.0
202,Montenegro,1989,60.0
203,Spain,1989,139.83333333333334
204,Bulgaria,1989,23.0
205,Portugal,1989,30.999999999999996
206,Switzerland ita,1989,204.0
207,Italy,1989,204.0
208,Slovakia,1989,82.0
209,Russia,1989,46.5
210,Slovenia,1989,53.0
211,Macedonia,1989,6.0
212,Sweden,1989,46.0
213,Catalonia,1989,40.0
214,Lithuania,1989,16.0
215,Ukraine,1989,9.0
216,Romania,1989,39.0
217,Moldova,1989,39.0
218,Greece,1989,27.0
219,Turkey,1989,40.0
220,Finland,1989,32.999999999999986
221,Latvia,1989,5.0
222,Algeria,1989,15.0
223,Tunisia,1989,15.0
224,Syria,1989,15.0
225,Byelarus,1989,2.0
226,Albania,1989,6.0
227,West Germany,2000,505.3999999999997
228,East Germany,2000,505.3999999999997
229,Austria,2000,505.3999999999997
230,Switzerland ger,2000,505.3999999999997
231,Liechtenstein,2000,505.3999999999997
232,Croatia,2000,94.0
233,Bosnia and Herzegovina,2000,94.0
234,Serbia,2000,94.0
235,Montenegro,2000,94.0
236,Romania,2000,78.0
237,Moldova,2000,78.0
238,Russia,2000,115.0
239,Switzerland ita,2000,200.0
240,Italy,2000,200.0
241,Denmark,2000,31.0
242,France,2000,311.16666666666674
243,Switzerland fre,2000,311.16666666666674
244,Belgium fre,2000,311.16666666666674
245,Monaco,2000,311.16666666666674
246,Luxembourg,2000,311.16666666666674
247,Spain,2000,192.91666666666669
248,Bulgaria,2000,72.0
249,Slovakia,2000,71.0
250,Poland,2000,307.0
251,Sweden,2000,39.0
252,Finland,2000,26.0
253,Hungary,2000,196.0
254,Lithuania,2000,17.0
255,Slovenia,2000,106.0
256,United Kingdom,2000,108.33333333333333
257,Ireland,2000,108.33333333333333
258,Norway,2000,32.0
259,Catalonia,2000,30.0
260,Belgium dut,2000,95.0
261,Netherlands,2000,95.0
262,Macedonia,2000,14.0
263,Algeria,2000,19.0
264,Tunisia,2000,19.0
265,Syria,2000,19.0
266,Estonia,2000,4.0
267,Greece,2000,14.0
268,Portugal,2000,17.0
269,Turkey,2000,40.0
270,Ukraine,2000,14.0
271,Albania,2000,9.0
272,Latvia,2000,8.0
273,Byelarus,2000,8.0
274,France,2011,189.5
275,Switzerland fre,2011,189.5
276,Belgium fre,2011,189.5
277,Monaco,2011,189.5
278,Luxembourg,2011,189.5
279,Spain,2011,130.58333333333334
280,Poland,2011,279.0
281,West Germany,2011,421.49999999999983
282,East Germany,2011,421.49999999999983
283,Austria,2011,421.49999999999983
284,Switzerland ger,2011,421.49999999999983
285,Liechtenstein,2011,421.49999999999983
286,Romania,2011,42.0
287,Moldova,2011,42.0
288,Slovenia,2011,92.0
289,Russia,2011,109.0
290,Croatia,2011,91.5
291,Bosnia and Herzegovina,2011,91.5
292,Serbia,2011,91.5
293,Montenegro,2011,91.5
294,Algeria,2011,49.0
295,Tunisia,2011,49.0
296,Syria,2011,49.0
297,Belgium dut,2011,95.0
298,Netherlands,2011,95.0
299,United Kingdom,2011,123.41666666666667
300,Ireland,2011,123.41666666666667
301,Switzerland ita,2011,105.5
302,Italy,2011,105.5
303,Slovakia,2011,36.0
304,Bulgaria,2011,75.0
305,Hungary,2011,79.0
306,Norway,2011,30.0
307,Sweden,2011,31.0
308,Macedonia,2011,57.0
309,Catalonia,2011,23.0
310,Portugal,2011,11.0
311,Denmark,2011,32.0
312,Estonia,2011,11.0
313,Turkey,2011,11.0
314,Albania,2011,11.0
315,Ukraine,2011,25.0
316,Lithuania,2011,5.0
317,Latvia,2011,19.0
318,Finland,2011,1.0
319,Byelarus,2011,9.0
320,Greece,2011,6.0
